Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;Totalt i retning Oslo;24503;66,7;24;24;0;243;99,01;20073;4187;891;1010;745;1541;1435;106
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;Totalt i retning Vinterbru;25202;100,0;24;24;0;521;97,93;22635;2046;661;729;482;174;169;5
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;Totalt;49705;80,0;24;24;0;764;98,46;42708;6233;1552;1739;1227;1715;1604;111
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;1;10601;100,0;24;24;0;7;99,93;10046;548;318;99;47;84;80;4
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;2;10278;100,0;24;24;0;6;99,94;10155;117;57;37;22;1;1;0
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;3;14901;100,0;24;24;0;25;99,83;11234;3642;643;862;695;1442;1347;95
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;4;15940;100,0;24;24;0;569;96,43;13420;1951;592;731;477;151;149;2
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;5;-;0,0;24;24;0;-;-;-;-;-;-;-;-;-;-
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;Totalt i retning Oslo;25666;66,7;24;24;0;140;99,45;21334;4192;961;962;743;1526;1427;99
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;Totalt i retning Vinterbru;26224;100,0;24;24;0;579;97,79;23576;2069;650;768;499;152;150;2
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-18T00:00+01:00;2023-01-19T00:00+01:00;2023-01-18;Totalt;51890;80,0;24;24;0;719;98,61;44910;6261;1611;1730;1242;1678;1577;101
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;2023-01-19;1;11294;100,0;24;24;0;1;99,99;10762;531;273;114;59;85;80;5
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;2023-01-19;2;10469;100,0;24;24;0;3;99,97;10322;144;65;34;38;7;7;0
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-19T00:00+01:00;2023-01-20T00:00+01:00;2023-01-19;3;15240;100,0;24;24;0;20;99,87;11686;3534;626;889;742;1277;1188;89
