Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;6;45;100,0;24;24;0;1;97,78;36;8;1;0;6;1;1;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;Totalt i retning Akershus grense;26139;100,0;24;24;0;3;99,99;20884;5252;1399;1319;446;2088;1996;92
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;Totalt i retning Karihaugen;24945;100,0;24;24;0;3;99,99;20208;4734;1129;1225;489;1891;1814;77
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;Totalt;51084;100,0;24;24;0;6;99,99;41092;9986;2528;2544;935;3979;3810;169
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;1;11516;100,0;24;24;0;2;99,98;10744;770;485;137;51;97;94;3
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;2;9106;100,0;24;24;0;2;99,98;8557;547;341;79;42;85;81;4
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;3;15245;100,0;24;24;0;3;99,98;10744;4498;861;1181;455;2001;1924;77
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;4;16036;100,0;24;24;0;3;99,98;11661;4372;797;1181;474;1920;1851;69
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;5;27;100,0;24;24;0;0;100,00;21;6;1;0;4;1;1;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;6;33;100,0;24;24;0;0;100,00;26;7;0;1;6;0;0;0
